movie_id;movie_slug;title;production_year;release_year;genre;duration_min;coproduction_country;status;director;screenplay_author;production_company;short_synopsis;synopsis_source;approx_budget;original_language
MOV-0105;DO-2022-coma-profundo;Coma Profundo;2022;2024;drama;96;DO;released;Roberto Ángel Salcedo Sanz;;Miraxis Films, SRL;Tras un accidente, un corredor de motos cae en coma, lo que provoca esperanzas e intrigas en sus allegados.;filmaffinity;59916580.56;spanish
MOV-0106;DO-2022-concho;Concho;2022;;drama;80;DO;unknown;Reyvin Jáquez Grullón;;Fast Films, SRL;;pending;26943902.46;spanish
MOV-0107;DO-2018-consuelo;Consuelo;2018;;documentary;105;DO;unknown;Edmond Gabriel Valencia Tavares;;Duho Cinema, SRL;;pending;29835048.16;spanish
MOV-0108;DO-2023-dia-8;Día 8;2023;2025;drama;96;DO;released;José Carlos Gómez;;Effeta Films, SRL;En su incesante búsqueda de notoriedad, Yira se convierte en una joven influencer. Sus seguidores empiezan a aumentar y esto la llena de felicidad pasajera. Vive desafiante ante la fe, y triste ante la realidad de su relación familiar. El amor por su hermana menor la lleva a buscar una solución a su problema de salud. En esa búsqueda la vida de Yira da un giro, cuando se topa accidentalmente con un video en Youtube de un sacerdote canadiense radicado en santo domingo, quien, a pesar de ya haber fallecido, cuenta con mucho respeto, cariño y popularidad. Se obsesiona con investigar más sobre la vida de este sacerdote y los testimonios que escucha sobre él. En su proceso de búsqueda, es confrontada con su realidad personal, llegando así a un punto de quiebre que la interpela de manera profunda.;youtube;59995466.39;spanish
MOV-0109;DO-2023-dicen-por-ahi;Dicen Por Ahí;2023;2026;documentary;70;DO;released;Richard Rodríguez|Elsa Turull De Alma;;Larimar Services, SRL;En la comunidad de Arroyo Cano, San Juan, persiste una historia oscura, marcada por los crímenes del notorio desmembrador Petete. Con el tiempo, se ha convertido en una leyenda, en gran parte debido a la falta de información concreta sobre su vida y paradero;imdb;39915630.51;spanish
MOV-0110;DO-2022-el-ano-del-tigre;El Año Del Tigre;2022;2023;comedy;90;DO;released;Yasser Walid Michelen Cunillera;;Godraniss Group, SRL;El Pez Dorado está a punto de irse a la ruina pero una pareja de esposos hará todo lo posible para impedirlo, afrontando una serie de corruptos, timadores y usureros que les harán la vida imposible.;imdb;81380084;spanish
MOV-0111;DO-2022-el-arte-de-vivir;El Arte De Vivir;2022;;documentary;95;DO;unknown;David Emmanuel Maler Baquero;;Cacique Films, SRL;;pending;39653374;spanish
MOV-0112;DO-2022-el-buen-vivir;El Buen Vivir;2022;;documentary;85;DO;unknown;Iván Aybar;;Yuttam Group, SRL;;pending;33171145;spanish
MOV-0113;DO-2022-el-cibao-es-gigante;El Cibao Es Gigante;2022;;documentary;75;DO;unknown;Héctor José Cruz Arias;;Cineplus HJC, SRL;;pending;6802427;spanish
MOV-0114;DO-2022-el-custodio-de-la-virgen;El Custodio De La Virgen;2022;2025;documentary;70;DO;released;Elsa Julia Turull Maldonado De Alma;;Larimar Services, SRL;El trabajo del padre Evaristo Areche, tomando la custodia del cuadro de Nuestra Señora de Altagracia durante las celebraciones del centenario de su coronación.;imdb;39859892.15;spanish
MOV-0115;DO-2022-el-dandy-dominicano;El Dandy Dominicano;2022;;documentary;100;DO;unknown;Alejandro José Andújar Tejada|Héctor Aníbal Estrella Pantaleón;;El Dandy, SRL;De niño, todo dominicano tiene dos sueños: jugar béisbol e ir a Estados Unidos. Sin embargo, el primero es un sueño y el segundo una necesidad. Esta es la historia de cómo Juan Marichal se convirtió en el primer dominicano en ingresar al Salón de la Fama.;imdb;66030177;spanish
MOV-0116;DO-2023-el-lenguaje-del-cigarro;El Lenguaje Del Cigarro;2023;;documentary;90;DO;in_production;Pablo Lozano Hernández;;Selene Films Management, SRL;;pending;55000000;spanish
MOV-0117;DO-2022-el-silencio-de-marcos-tremmer;El Silencio De Marcos Tremmer;2022;;drama;90;ES;in_festivals;Miguel Ángel García De La Calera;;Hélix, SRL;Marcos Tremmer es un exitoso publicista uruguayo que vive en Madrid, locamente enamorado de su mujer, Lucía. Un día, Marcos descubre que una enfermedad letal acabará con su vida en pocos meses. Para proteger a Lucía del que, por seguro, será un inmenso sufrimiento, toma una decisión arriesgada: ocultar la situación y alejarla.;filmaffinity;121991379.3;spanish
MOV-0118;DO-2022-el-tiburon;El Tiburón;2022;2025;dark comedy;75;DO;released;Félix Germán Olalla;;Mafe Films, SRL;"Tres parejas de Cuba, República Dominicana y Haití, deciden ir en busca de una mejor
vida. Tras una tormenta en el mar, unen sus destinos para lograr su sueño de llegar a
la tierra prometida";youtube;97661327;spanish
MOV-0119;DO-2022-el-trayecto;El Trayecto;2022;2024;drama;90;DO;released;Francisco Valdez;;POB Films, SRL;Un viaje a la playa para cuatro amigos comienza a cambiar cuando los problemas de la edad adulta cotidiana ponen a prueba sus relaciones personales.;imdb;35692434.48;spanish
MOV-0120;DO-2022-el-ultimo-surrealista;El Último Surrealista;2022;;documentary;80;DO;unknown;Héctor Manuel Valdez;;Ingenio Lateral, SRL;;pending;38198483;spanish
MOV-0121;DO-2022-el-viaje-de-laura;El Viaje De Laura;2022;;drama|romance;80;DO;unknown;Ana Rodríguez Rosell;;Dare Films, SRL;;pending;72538837.07;spanish
MOV-0122;DO-2022-ella;Ella;2022;;psychological thriller;120;DO;unknown;Dilia Josefina Pacheco Méndez;;Ella Trilogía, SRL;;pending;107529249.5;spanish
MOV-0123;DO-2022-entierrenlo-de-pie;Entiérrenlo De Pie;2022;;dark comedy;90;DO;in_festivals;Ronni Oscar Castillo Alcántara;;Arrayano Films, SRL;Cuando el famoso capo de la droga Don Adrián muere, su extraño deseo final de ser enterrado de pie, arroja a su disfuncional familia en el caos.;imdb;51345787.39;spanish
MOV-0124;DO-2022-herencia-gastronomica;Herencia Gastronómica;2022;;documentary;97;DO;unknown;Pablo José Lozano Hernández;;Main Street Films, SRL;;pending;27930249;spanish
MOV-0125;DO-2022-historia-del-beisbol-dominicano;Historia Del Beisbol Dominicano;2022;;documentary;90;DO;unknown;Miguel Vásquez Brazoban;;Metro Films, SRL;;pending;61281324.49;spanish
MOV-0126;DO-2022-i-live-where-you-vacation;I Live Where You Vacation;2022;2024;documentary;80;DO;released;Iván Aybar;;Stone Productions, SRL;;pending;34508858;spanish
MOV-0127;DO-2023-i-live-where-you-vacation-2;I Live Where You Vacation 2;2023;2024;documentary;80;DO;released;Iván Aybar;;Vezlop Group, SRL;;pending;36385808;spanish
MOV-0128;DO-2022-isla-del-sabor-2;Isla Del Sabor 2;2022;;documentary;95;DO;in_production;Arturo Dickson;;Cattaleya Pictures, SRL;;pending;43846324;spanish
MOV-0129;DO-2022-la-bachata-del-bionico;La Bachata Del Biónico;2022;2025;docufiction;90;DO;released;Yoel Morales;;Cardo Santo Producciones, SRL;El romántico Biónico lucha por encontrar un trabajo y un hogar para mantener a su prometida La Flaca tras la rehabilitación. Intenta dejar las drogas con la ayuda de su compañera Calvita.;filmaffinity;39946527;spanish
MOV-0130;DO-2020-la-boveda;La Bóveda;2020;;drama;90;DO;unknown;Ronni Oscar Castillo Alcántara;;La Boda Films, SRL;;pending;65031823.15;spanish
